,p0q0
428,0
429,3
430,0
431,-7
432,6
433,4
434,0
435,3
436,-9
437,-3
438,3
439,5
440,10
441,0
442,-8
443,0
444,8
445,-10
446,9
447,6
448,2
449,-7
450,-5
451,-10
452,-4
453,4
454,8
455,2
456,1
457,2
458,3
459,4
460,-10
461,-4
462,-2
463,-5
464,-6
465,-4
466,-5
467,4
468,-3
469,4
470,9
471,-1
472,7
473,9
474,10
475,-6
476,7
477,5
478,-3
479,-3
480,-9
481,9
482,2
483,-5
484,-10
485,-6
486,-8
487,2
488,0
489,-7
490,-10
491,10
492,-10
493,-10
494,1
495,-1
496,-8
497,-7
498,0
499,-6
500,-5
501,-3
502,-6
503,3
504,-8
505,-3
506,2
507,10
508,-5
509,1
510,-10
511,-2
512,-2
513,7
514,-3
515,-2
516,8
517,2
518,7
519,-10
520,0
521,-9
522,-5
523,5
524,-5
525,-8
526,-9
527,-2
528,5
529,3
530,2
531,7
532,2
533,-1
534,0
535,9
536,-10
537,-3
538,-4
539,-10
540,-6
541,-4
542,2
543,-3
544,10
545,-1
546,-2
547,-4
548,-8
549,6
550,-1
551,6
552,5
553,2
554,-1
555,-6
556,2
557,0
558,-1
559,-3
560,-3
561,5
562,10
563,3
564,-1
565,7
566,-6
567,-9
568,-2
569,0
570,-8
571,-8
572,7
573,2
574,0
575,-10
576,-5
577,-10
578,2
579,1
580,3
581,4
582,10
583,1
584,0
585,-7
586,-5
587,-3
588,-5
589,8
590,7
591,3
592,-1
593,8
594,8
595,-10
596,3
597,-5
598,0
599,-5
600,2
601,8
602,2
603,-4
604,10
605,6
606,-1
607,3
608,-3
609,-2
610,10
611,6
612,-7
613,-3
614,-8
615,-6
616,-8
617,5
618,-5
619,-3
620,10
621,-9
622,9
623,-9
624,-4
625,-1
626,-8
627,-7
628,4
629,4
630,-3
631,-4
632,-1
633,0
634,-3
635,-9
636,9
637,2
638,-4
639,-3
640,2
641,-6
642,-7
643,8
644,1
645,0
646,7
647,4
648,7
649,-1
650,3
651,7
652,10
653,-10
654,-8
655,-4
656,-2
657,-4
658,-5
659,9
660,-1
661,4
662,6
663,4
664,10
665,-2
666,-6
667,-2
668,-7
669,2
670,-3
671,7
672,-1
673,8
674,-4
675,1
676,-4
677,-2
678,7
679,-6
680,1
681,10
682,-4
683,-5
684,0
685,4
686,4
687,-7
688,1
689,5
690,-5
691,6
692,-7
693,-5
694,-1
695,1
696,-6
697,1
698,1
699,10
700,9
701,-7
702,3
703,4
704,-1
705,-10
706,10
707,-2
708,-9
709,10
710,2
711,3
712,10
713,-3
714,5
715,-1
716,1
717,-8
718,8
719,6
720,8
721,1
722,1
723,9
724,10
725,7
726,-7
727,-8
728,-8
729,7
730,0
731,-1
732,10
733,-8
734,9
735,-2
736,8
737,-1
738,0
739,-5
740,6
741,2
742,-5
743,10
744,-6
745,0
746,4
747,-8
748,3
749,2
750,-8
751,-5
752,8
753,7
754,0
755,-3
756,-5
757,5
758,0
759,-4
760,-2
761,-8
762,-9
763,3
764,-2
765,9
766,1
767,-2
768,-6
769,5
770,-2
771,9
772,9
773,-3
774,-5
775,3
776,-7
777,9
778,5
779,8
780,-7
781,-4
782,6
783,-1
784,-5
785,-7
786,-5
787,2
788,4
789,-7
790,5
791,3
792,8
793,8
794,7
795,-10
796,4
797,0
798,1
799,7
800,-5
801,-1
802,9
803,9
804,-10
805,10
806,-10
807,-6
808,0
809,6
810,-4
811,-2
812,5
813,7
814,7
815,-4
816,3
817,-10
818,-8
819,-2
820,5
821,-8
822,-6
823,5
824,5
825,-8
826,-9
827,-2
828,-8
829,3
830,-1
831,5
832,10
833,8
834,-2
835,10
836,-8
837,-1
838,3
839,7
840,2
841,8
842,6
843,-2
844,3
845,-4
846,-1
847,-4
848,-1
849,-2
850,0
851,-5
852,0
853,-6
854,-6
855,7
856,7
857,-8
858,7
859,9
860,-6
861,-8
862,3
863,-1
864,4
865,0
866,-1
867,-6
868,1
869,6
870,9
871,0
872,7
873,-5
874,6
875,-8
876,-4
877,4
878,4
879,7
880,10
881,9
882,6
883,10
884,3
885,2
886,10
887,9
888,-9
889,-3
890,-9
891,5
892,2
893,6
894,5
895,-6
896,8
897,-10
898,-8
899,-5
900,9
901,-5
902,10
903,7
904,10
905,-1
906,-2
907,-8
908,2
909,6
910,-9
911,-10
912,8
913,-3
914,7
915,-7
916,-8
917,-4
918,0
919,-3
920,10
921,-4
922,7
923,-1
924,6
925,-7
926,6
927,5
928,4
929,10
930,-4
931,0
932,7
933,3
934,-2
935,0
936,-9
937,-2
938,-4
939,9
940,0
941,8
942,4
943,2
944,7
945,10
946,-5
947,-6
948,2
949,-6
950,7
951,0
952,5
953,0
954,10
955,-5
956,-1
957,-8
958,-9
959,-7
960,-4
961,4
962,-1
963,-7
964,10
965,-6
966,6
967,-3
968,-8
969,10
970,1
971,-9
972,1
973,-5
974,-5
975,4
976,5
977,10
978,0
979,7
980,5
981,7
982,9
983,-1
984,-2
985,9
986,2
987,-1
988,-4
989,-5
990,10
991,3
992,-1
993,-4
994,0
995,-9
996,-4
997,-10
998,-2
999,-7
1000,9
1001,9
1002,-2
1003,-6
1004,-6
1005,-5
1006,-10
1007,1
1008,-3
1009,-2
1010,3
1011,-6
1012,1
1013,-3
1014,4
1015,-3
1016,5
1017,2
1018,-9
1019,9
1020,-3
1021,5
1022,-9
1023,-6
1024,4
1025,-3
1026,-1
1027,7
1028,-9
1029,-10
1030,-3
1031,6
1032,3
1033,7
1034,-8
1035,1
1036,-6
1037,-3
1038,8
1039,3
1040,-9
1041,4
1042,9
1043,2
1044,5
1045,-2
1046,-8
1047,-6
1048,-1
1049,0
1050,-4
1051,-7
1052,5
1053,7
1054,-2
1055,-10
1056,-3
1057,-6
1058,-6
1059,-4
1060,8
1061,2
1062,1
1063,5
1064,10
1065,0
1066,4
1067,6
1068,7
1069,10
1070,6
1071,-9
1072,8
1073,-4
1074,-3
1075,-4
1076,6
1077,-1
1078,4
1079,-4
1080,-7
1081,0
1082,10
1083,-9
1084,-8
1085,-6
1086,8
1087,-4
1088,-1
1089,2
1090,0
1091,4
1092,7
1093,2
1094,10
1095,-5
1096,-9
1097,9
1098,6
1099,-6
1100,-1
1101,-9
1102,-10
1103,2
1104,-3
1105,-10
1106,2
1107,5
1108,-2
1109,3
1110,2
1111,-6
1112,3
1113,2
1114,-1
1115,-9
1116,8
1117,7
1118,10
1119,-1
1120,2
1121,5
1122,10
1123,0
1124,-4
1125,4
1126,9
1127,0
1128,4
1129,8
1130,1
1131,-5
1132,-8
1133,10
1134,1
1135,-9
1136,3
1137,-1
1138,4
1139,-4
1140,-3
1141,-2
1142,0
1143,-6
1144,-10
1145,-7
1146,-2
1147,9
1148,-7
1149,9
1150,-2
1151,-9
1152,6
1153,-8
1154,-6
1155,-4
1156,10
1157,-4
1158,-1
1159,-3
1160,8
1161,1
1162,-4
1163,5
1164,-10
1165,-5
1166,4
1167,5
1168,8
1169,7
1170,6
1171,-2
1172,1
1173,0
1174,2
1175,-5
1176,6
1177,2
1178,-8
1179,1
1180,6
1181,-1
1182,-1
1183,8
1184,3
1185,-1
1186,1
1187,5
1188,8
1189,-8
1190,0
1191,6
1192,0
1193,10
1194,-2
1195,-3
1196,0
1197,-10
1198,-3
1199,-4
1200,-4
1201,-10
1202,-4
1203,10
1204,-5
1205,-7
1206,-2
1207,4
1208,-9
1209,10
1210,2
1211,0
1212,-3
1213,9
1214,-6
1215,-8
1216,2
1217,1
1218,6
1219,6
1220,-4
1221,10
1222,-7
1223,7
1224,-6
1225,-3
1226,2
1227,-2
1228,10
1229,-4
1230,7
1231,-10
1232,-6
1233,-8
1234,9
1235,4
1236,0
1237,-6
1238,6
1239,-6
1240,9
1241,2
1242,9
1243,8
1244,3
1245,3
1246,2
1247,2
1248,1
1249,2
1250,-6
1251,1
1252,8
1253,-6
1254,-4
1255,0
1256,8
1257,-3
1258,-7
1259,-5
1260,4
1261,-5
1262,0
1263,8
1264,-5
1265,-7
1266,10
1267,-5
1268,6
1269,-1
1270,9
1271,10
1272,4
1273,9
1274,1
1275,10
1276,-9
1277,1
1278,10
1279,-4
1280,2
1281,9
1282,-10
1283,-4
1284,-7
1285,-5
1286,6
1287,-5
1288,2
1289,-4
1290,6
1291,-5
1292,-4
1293,2
1294,3
1295,3
1296,-3
1297,-6
1298,5
1299,-9
1300,-1
1301,-10
1302,1
1303,-4
1304,1
1305,7
1306,0
1307,6
1308,6
1309,-2
1310,-3
1311,-9
1312,10
1313,-2
1314,-3
1315,-5
1316,6
1317,7
1318,-9
1319,-9
1320,7
1321,-7
1322,8
1323,10
1324,6
1325,7
1326,-5
1327,5
1328,4
1329,4
1330,1
1331,6
1332,4
1333,-1
1334,2
1335,-2
1336,6
1337,-8
1338,4
1339,7
1340,3
1341,0
1342,10
1343,-6
1344,7
1345,9
1346,2
1347,8
1348,2
1349,10
1350,-7
1351,0
1352,-8
1353,6
1354,5
1355,-8
1356,-8
1357,3
1358,5
1359,8
1360,-2
1361,-5
1362,-6
1363,9
1364,8
1365,8
1366,-7
1367,0
1368,4
1369,0
1370,1
1371,-1
1372,0
1373,-7
1374,1
1375,2
1376,-6
1377,2
1378,-7
1379,-2
1380,-5
1381,1
1382,10
1383,5
1384,10
1385,-10
1386,0
1387,3
1388,-8
1389,8
1390,4
1391,6
1392,4
1393,8
1394,-10
1395,9
1396,10
1397,1
1398,1
1399,-5
1400,-6
1401,-6
1402,-8
1403,-2
1404,-3
1405,7
1406,9
1407,-6
1408,2
1409,8
1410,-2
1411,-2
1412,-2
1413,7
1414,-10
1415,1
1416,5
1417,5
1418,-6
1419,10
1420,5
1421,-6
1422,1
1423,7
1424,3
1425,-4
1426,7
1427,-8
1428,7
1429,9
1430,-2
1431,6
1432,-4
1433,-3
1434,-3
1435,-9
1436,-9
1437,1
1438,8
1439,1
1440,-9
1441,2
1442,-5
1443,10
1444,7
1445,-2
1446,-9
1447,2
1448,-9
1449,-2
1450,9
1451,8
1452,-7
1453,6
1454,1
1455,4
1456,6
1457,9
1458,6
1459,-1
1460,-1
1461,5
1462,9
1463,9
1464,-2
1465,2
1466,7
1467,3
1468,9
1469,-7
1470,1
1471,-7
1472,6
1473,9
1474,-2
1475,-2
1476,0
1477,-1
1478,-10
1479,-3
1480,7
1481,7
1482,10
1483,-6
1484,-4
1485,-10
1486,4
1487,1
1488,-2
1489,-9
1490,1
1491,-7
1492,1
1493,5
1494,7
1495,-6
1496,-10
1497,9
1498,3
1499,0
1500,0
1501,-1
1502,-2
1503,10
1504,3
1505,-10
1506,2
1507,-8
1508,-9
1509,1
1510,-8
1511,1
1512,9
1513,2
1514,6
1515,10
1516,2
1517,1
1518,1
1519,5
1520,9
1521,1
1522,-3
1523,8
1524,8
1525,-10
1526,8
1527,-7
1528,-8
1529,-9
1530,6
1531,-6
1532,-7
1533,4
1534,4
1535,-2
1536,-6
1537,2
1538,6
1539,-6
1540,0
1541,-6
1542,0
1543,-6
1544,-2
1545,7
1546,-9
1547,-3
1548,-8
1549,10
1550,-9
1551,-9
1552,7
1553,1
1554,-10
1555,-3
1556,4
1557,9
1558,-9
1559,-9
1560,7
1561,-3
1562,6
1563,7
1564,-2
1565,7
1566,6
1567,7
1568,2
1569,4
1570,2
1571,-6
1572,5
1573,1
1574,-3
1575,-1
1576,2
1577,-1
1578,7
1579,6
1580,1
1581,-6
1582,-7
1583,2
1584,-7
1585,9
1586,0
1587,7
1588,-7
1589,-7
1590,3
1591,2
1592,-5
1593,0
1594,-2
1595,8
1596,4
1597,-1
1598,1
1599,0
1600,-5
1601,4
1602,3
1603,3
1604,-5
1605,4
1606,-1
1607,-1
1608,10
1609,-1
1610,-5
1611,8
1612,-2
1613,3
1614,6
1615,10
1616,1
1617,8
1618,5
1619,3
1620,7
1621,0
1622,-4
1623,-4
1624,-10
1625,3
1626,-10
1627,-3
1628,9
1629,10
1630,1
1631,10
1632,-8
1633,8
1634,-10
1635,7
1636,5
1637,-7
1638,-3
1639,-10
1640,0
1641,5
1642,6
1643,-8
1644,9
1645,-1
1646,-3
1647,-3
1648,-9
1649,-4
1650,-8
1651,6
1652,-9
1653,-1
1654,-4
1655,9
1656,6
1657,7
1658,1
1659,-1
1660,0
1661,-10
1662,7
1663,-3
1664,-8
1665,-10
1666,7
1667,-9
1668,-4
1669,0
1670,-8
1671,8
1672,1
1673,-7
1674,-5
1675,-3
1676,-8
1677,-9
1678,-6
1679,4
1680,-7
1681,3
1682,10
1683,6
1684,-6
1685,4
1686,8
1687,2
1688,2
1689,2
1690,-9
1691,-7
1692,-3
1693,-4
1694,2
1695,-3
1696,-6
1697,6
1698,-1
1699,6
1700,5
1701,-5
1702,-8
1703,-9
1704,5
1705,-4
1706,-7
1707,6
1708,0
1709,6
1710,-3
1711,9
1712,-7
1713,3
1714,-4
1715,2
1716,0
1717,0
1718,3
1719,0
1720,10
1721,2
1722,6
1723,-10
1724,8
1725,2
1726,-9
1727,-3
1728,-1
1729,6
1730,-3
1731,6
1732,-3
1733,-3
1734,-1
1735,0
1736,-8
1737,6
1738,-2
1739,-10
1740,3
1741,-1
1742,-3
1743,-1
1744,-8
1745,10
1746,3
1747,-6
1748,4
1749,-5
1750,-4
1751,-3
1752,5
1753,2
1754,1
1755,-9
1756,2
1757,10
1758,5
1759,2
1760,-6
1761,-1
1762,7
1763,-9
1764,-5
1765,3
1766,-7
1767,1
1768,-7
1769,-7
1770,4
1771,2
1772,-10
1773,2
1774,9
1775,7
1776,-6
1777,2
1778,-8
1779,1
1780,-6
1781,6
1782,-4
1783,3
1784,-7
1785,-9
1786,-7
1787,-5
1788,-10
1789,10
1790,-7
1791,8
1792,-5
1793,3
1794,9
1795,-7
1796,1
1797,-1
1798,8
1799,-1
1800,1
1801,-6
1802,-6
1803,8
1804,-7
1805,-6
1806,-7
1807,-3
1808,7
1809,-6
1810,1
1811,-9
1812,-4
1813,0
1814,-3
1815,-10
1816,5
1817,-2
1818,-4
1819,4
1820,8
1821,4
1822,-9
1823,9
1824,9
1825,-2
1826,-1
1827,9
1828,3
1829,2
1830,6
1831,-9
1832,9
1833,-2
1834,-8
1835,-5
1836,-10
1837,-1
1838,-9
1839,-5
1840,-4
1841,-5
1842,4
1843,-3
1844,-4
1845,5
1846,-1
1847,4
1848,5
1849,-8
1850,-9
1851,4
1852,-3
1853,5
1854,-5
1855,2
1856,-2
1857,6
1858,7
1859,-2
1860,-3
1861,-2
1862,-6
1863,10
1864,0
1865,-8
1866,-1
1867,7
1868,5
1869,4
1870,5
1871,-4
1872,1
1873,0
1874,-8
1875,2
1876,10
1877,-8
1878,-6
1879,-9
1880,9
1881,1
1882,-8
1883,-8
1884,8
1885,7
1886,-1
1887,-7
1888,0
1889,-5
1890,0
1891,-8
1892,9
1893,-6
1894,9
1895,-3
1896,-10
1897,3
1898,8
1899,-7
1900,4
1901,-7
1902,-7
1903,-6
1904,1
1905,-6
1906,-2
1907,-3
1908,2
1909,-7
1910,10
1911,-10
1912,-9
1913,0
1914,3
1915,1
1916,-8
1917,5
1918,-3
1919,-9
1920,-6
1921,10
1922,-1
1923,8
1924,8
1925,-8
1926,-6
1927,-2
1928,5
1929,-4
1930,-1
1931,7
1932,1
1933,7
1934,7
1935,4
1936,-3
1937,7
1938,-6
1939,8
1940,0
1941,6
1942,-8
1943,8
1944,-4
1945,-7
1946,-4
1947,6
1948,-7
1949,8
1950,10
1951,2
1952,2
1953,7
1954,6
1955,-1
1956,8
1957,4
1958,-6
1959,-9
1960,8
1961,5
1962,0
1963,9
1964,-7
1965,-2
1966,-9
1967,1
1968,-10
1969,-5
1970,-7
1971,0
1972,-1
1973,3
1974,3
1975,4
1976,-1
1977,4
1978,-10
1979,6
1980,-6
1981,-8
1982,-1
1983,8
1984,8
1985,8
1986,-5
1987,-3
1988,-2
1989,10
1990,0
1991,-2
1992,0
1993,-2
1994,-2
1995,7
1996,-6
1997,10
1998,6
1999,-1
2000,-1
2001,2
2002,-2
2003,-3
2004,7
2005,6
2006,0
2007,6
2008,-3
2009,-8
2010,10
2011,8
2012,-7
2013,6
2014,6
2015,-3
2016,-1
2017,7
2018,10
2019,6
2020,-3
2021,7
2022,-2
2023,6
2024,8
2025,-7
2026,4
2027,1
2028,6
2029,-1
2030,-3
2031,-9
2032,3
2033,-9
2034,-9
2035,2
2036,-4
2037,8
2038,8
2039,-1
2040,-4
2041,4
2042,9
2043,0
2044,-4
2045,-3
2046,9
2047,3
2048,-9
2049,-1
2050,6
2051,9
2052,-9
2053,5
2054,-2
2055,-4
2056,4
2057,9
2058,10
2059,-4
2060,-1
2061,-10
2062,-4
2063,-1
2064,-5
2065,-4
2066,-7
2067,-4
2068,-9
2069,-8
2070,-2
2071,-5
2072,4
2073,2
2074,10
2075,-9
2076,8
2077,9
2078,1
2079,-1
2080,0
2081,-6
2082,9
2083,6
2084,2
2085,6
2086,8
2087,-9
2088,-9
2089,-10
2090,6
2091,-2
2092,1
2093,10
2094,-9
2095,-2
2096,-8
2097,-1
2098,-6
2099,1
2100,-5
2101,9
2102,3
2103,-9
2104,-4
2105,-4
2106,9
2107,7
2108,-1
2109,-7
2110,-1
2111,-3
2112,-4
2113,-6
2114,-7
2115,-3
2116,-8
2117,-5
2118,6
2119,-5
2120,-2
2121,-10
2122,6
2123,-2
2124,-6
2125,5
2126,9
2127,4
2128,2
2129,3
2130,-7
2131,-4
2132,-5
2133,6
2134,6
2135,-5
2136,3
2137,3
2138,3
2139,-10
2140,4
2141,-8
2142,0
2143,-8
2144,-8
2145,-2
2146,6
2147,10
2148,-6
2149,-4
2150,6
2151,-5
2152,-8
2153,-8
2154,-1
2155,8
2156,9
2157,6
2158,1
2159,-9
2160,-7
2161,-8
2162,9
2163,-10
2164,-2
2165,6
2166,7
2167,6
2168,8
2169,2
2170,10
2171,-8
2172,3
2173,-4
2174,6
2175,-10
2176,-7
2177,10
2178,4
2179,-5
2180,5
2181,3
2182,0
2183,3
2184,-6
2185,-1
2186,-10
2187,-1
2188,7
2189,1
2190,10
2191,-10
2192,8
2193,2
2194,-1
2195,-4
2196,2
2197,0
2198,2
2199,-9
2200,2
2201,-4
2202,-6
2203,6
2204,1
2205,7
2206,1
2207,-2
2208,-1
2209,4
2210,-8
2211,-1
2212,3
2213,-7
2214,0
2215,-4
2216,5
2217,3
2218,1
2219,1
2220,0
2221,-5
2222,-3
2223,-4
2224,8
2225,3
2226,-1
2227,4
2228,2
2229,4
2230,-9
2231,-7
2232,8
2233,7
2234,1
2235,0
2236,-6
2237,10
2238,3
2239,3
2240,7
2241,-6
2242,-7
2243,-3
2244,-9
2245,6
2246,-8
2247,-2
2248,-8
2249,-10
2250,-4
2251,2
2252,-9
2253,5
2254,-6
2255,-6
2256,-7
2257,10
2258,4
2259,-4
2260,6
2261,-2
2262,-10
2263,-9
2264,4
2265,2
2266,5
2267,0
2268,-7
2269,-6
2270,2
2271,-10
2272,8
2273,1
2274,2
2275,-3
2276,9
2277,-7
2278,-1
2279,-8
2280,-1
2281,-8
2282,7
2283,0
2284,10
2285,-4
2286,2
2287,1
2288,10
2289,7
2290,-10
2291,-2
2292,5
2293,6
2294,-6
2295,-5
2296,3
2297,-4
2298,-4
2299,5
2300,4
2301,-9
2302,8
2303,5
2304,7
2305,-5
2306,-2
2307,-7
2308,9
2309,9
2310,0
2311,1
2312,10
2313,-4
2314,3
2315,-7
2316,-10
2317,-1
2318,-10
2319,8
2320,6
2321,0
2322,9
2323,10
2324,5
2325,2
2326,5
2327,-7
2328,8
2329,-10
2330,-4
2331,-7
2332,2
2333,-8
2334,9
2335,4
2336,0
2337,10
2338,-1
2339,-8
2340,2
2341,2
2342,4
2343,4
2344,0
2345,3
2346,4
2347,-1
2348,-4
2349,5
2350,3
2351,-1
2352,-7
2353,3
2354,1
2355,8
2356,8
2357,-2
2358,-9
2359,5
2360,-5
2361,-7
2362,4
2363,-7
2364,7
2365,9
2366,10
2367,9
2368,6
2369,8
2370,7
2371,-3
2372,-7
2373,6
2374,4
2375,-4
2376,-1
2377,-9
2378,5
2379,8
2380,-2
2381,-8
2382,4
2383,2
2384,0
2385,-9
2386,8
2387,-5
2388,-8
2389,-2
2390,10
2391,-8
2392,8
2393,1
2394,-2
2395,3
2396,9
2397,5
2398,-9
2399,-9
2400,0
2401,-10
2402,-7
2403,-3
2404,3
2405,-5
2406,-10
2407,6
2408,1
2409,-3
2410,9
2411,0
2412,1
2413,-8
2414,-6
2415,0
2416,-6
2417,-2
2418,6
2419,-1
2420,7
2421,-6
2422,-6
2423,6
2424,8
2425,-7
2426,1
2427,7
2428,4
2429,-5
2430,9
2431,-7
2432,6
2433,-7
2434,5
2435,2
2436,0
2437,-1
2438,4
2439,-4
2440,4
2441,3
2442,-2
2443,-8
2444,10
2445,3
2446,4
2447,4
2448,-4
2449,8
2450,3
2451,4
2452,-6
2453,3
2454,-6
2455,-6
2456,-10
2457,9
2458,-7
2459,-7
2460,6
2461,-4
2462,5
2463,7
2464,-5
2465,4
2466,2
2467,-4
2468,-8
2469,2
2470,7
2471,-1
2472,-3
2473,0
2474,-8
2475,8
2476,-9
2477,10
2478,5
2479,-7
2480,-1
2481,0
2482,8
2483,-10
2484,1
2485,-5
2486,9
2487,10
2488,2
2489,4
2490,9
2491,0
2492,2
2493,4
2494,6
2495,0
2496,10
2497,8
2498,-8
2499,-7
2500,-1
2501,-1
2502,-1
2503,3
2504,-1
2505,-3
2506,-3
2507,3
2508,2
2509,1
2510,9
2511,1
2512,5
2513,0
2514,9
2515,-3
2516,3
2517,-6
2518,-2
2519,-6
2520,-9
2521,9
2522,-7
2523,-5
2524,-10
2525,-2
2526,-7
2527,-1
2528,-1
2529,-4
2530,-1
2531,-10
2532,10
2533,-5
2534,8
2535,-3
2536,-2
2537,9
2538,4
2539,-4
2540,9
2541,4
2542,-8
2543,-10
2544,-10
2545,2
2546,-9
2547,4
2548,9
2549,-10
2550,-8
2551,-8
2552,7
2553,-9
2554,-3
2555,4
2556,5
2557,0
2558,2
2559,8
2560,9
2561,-3
2562,1
2563,1
2564,-6
2565,-7
2566,5
2567,2
2568,-7
2569,-4
2570,2
2571,0
2572,3
2573,-2
2574,-5
2575,5
2576,3
2577,-5
2578,9
2579,6
2580,5
2581,-1
2582,-9
2583,4
2584,-2
2585,-10
2586,-8
2587,-6
2588,4
2589,-7
2590,-6
2591,6
2592,-6
2593,-6
2594,7
2595,-4
2596,-2
2597,-9
2598,-2
2599,-10
2600,-6
2601,8
2602,-2
2603,-8
2604,10
2605,2
2606,5
2607,0
2608,-6
2609,4
2610,-9
2611,-2
2612,7
2613,3
2614,-8
2615,8
2616,-7
2617,-1
2618,5
2619,1
2620,3
2621,5
2622,-5
2623,5
2624,2
2625,-2
2626,1
2627,2
2628,-7
2629,7
2630,6
2631,-4
2632,0
2633,10
2634,-5
2635,8
2636,-4
2637,-8
2638,4
2639,-7
2640,10
2641,6
2642,-4
2643,-6
2644,8
2645,9
2646,-8
2647,-8
2648,7
2649,10
2650,-4
2651,1
2652,7
2653,2
2654,-8
2655,5
2656,-6
2657,-8
2658,-4
2659,-2
2660,-6
2661,-4
2662,-4
2663,2
2664,3
2665,1
2666,7
2667,0
2668,8
2669,7
2670,1
2671,-8
2672,-2
2673,-5
2674,-7
2675,-5
2676,7
2677,-9
2678,-9
2679,0
2680,9
2681,5
2682,-9
2683,10
2684,-3
2685,-6
2686,-2
2687,0
2688,-6
2689,-8
2690,8
2691,-2
2692,-2
2693,-6
2694,-9
2695,-9
2696,7
2697,5
2698,-8
2699,-3
2700,-5
2701,-8
2702,0
2703,-2
2704,-10
2705,5
2706,10
2707,1
2708,-10
2709,-5
2710,4
2711,10
2712,4
2713,-8
2714,-8
2715,-7
2716,9
2717,-7
2718,3
2719,1
2720,-8
2721,4
2722,3
2723,-9
2724,7
2725,6
2726,3
2727,4
2728,7
2729,6
2730,2
2731,-4
2732,-6
2733,-7
2734,6
